,future,rate,open,close,open_perp,close_perp
2021-10-22T23:00:00+00:00,MKR-PERP,6.2e-05,2521.0,2520.5,2524.0,2523.5
2021-10-22T23:00:00+00:00,MKR-PERP,6.2e-05,2521.0,2520.5,2524.0,2523.5
2021-10-23T00:00:00+00:00,MKR-PERP,6.6e-05,2520.5,2525.0,2523.5,2528.0
2021-10-23T00:00:00+00:00,MKR-PERP,6.6e-05,2520.5,2525.0,2523.5,2528.0
2021-10-23T00:00:00+00:00,MKR-PERP,6.6e-05,2520.5,2525.0,2523.5,2528.0
2021-10-23T00:00:00+00:00,MKR-PERP,6.6e-05,2520.5,2525.0,2523.5,2528.0
2021-10-23T01:00:00+00:00,MKR-PERP,6e-05,2525.0,2519.0,2528.0,2521.5
2021-10-23T01:00:00+00:00,MKR-PERP,6e-05,2525.0,2519.0,2528.0,2521.5
2021-10-23T01:00:00+00:00,MKR-PERP,6e-05,2525.0,2519.0,2528.0,2521.5
2021-10-23T01:00:00+00:00,MKR-PERP,6e-05,2525.0,2519.0,2528.0,2521.5
2021-10-23T02:00:00+00:00,MKR-PERP,5.5e-05,2519.0,2522.0,2521.5,2526.0
2021-10-23T02:00:00+00:00,MKR-PERP,5.5e-05,2519.0,2522.0,2521.5,2526.0
2021-10-23T02:00:00+00:00,MKR-PERP,5.5e-05,2519.0,2522.0,2521.5,2526.0
2021-10-23T02:00:00+00:00,MKR-PERP,5.5e-05,2519.0,2522.0,2521.5,2526.0
2021-10-23T03:00:00+00:00,MKR-PERP,5.2e-05,2522.0,2521.0,2526.0,2526.5
2021-10-23T03:00:00+00:00,MKR-PERP,5.2e-05,2522.0,2521.0,2526.0,2526.5
2021-10-23T03:00:00+00:00,MKR-PERP,5.2e-05,2522.0,2521.0,2526.0,2526.5
2021-10-23T03:00:00+00:00,MKR-PERP,5.2e-05,2522.0,2521.0,2526.0,2526.5
2021-10-23T04:00:00+00:00,MKR-PERP,5.2e-05,2521.0,2528.0,2526.5,2531.5
2021-10-23T04:00:00+00:00,MKR-PERP,5.2e-05,2521.0,2528.0,2526.5,2531.5
2021-10-23T04:00:00+00:00,MKR-PERP,5.2e-05,2521.0,2528.0,2526.5,2531.5
2021-10-23T04:00:00+00:00,MKR-PERP,5.2e-05,2521.0,2528.0,2526.5,2531.5
2021-10-23T05:00:00+00:00,MKR-PERP,5.9e-05,2528.0,2518.0,2531.5,2521.5
2021-10-23T05:00:00+00:00,MKR-PERP,5.9e-05,2528.0,2518.0,2531.5,2521.5
2021-10-23T05:00:00+00:00,MKR-PERP,5.9e-05,2528.0,2518.0,2531.5,2521.5
2021-10-23T05:00:00+00:00,MKR-PERP,5.9e-05,2528.0,2518.0,2531.5,2521.5
2021-10-23T06:00:00+00:00,MKR-PERP,5.3e-05,2518.0,2525.5,2521.5,2531.0
2021-10-23T06:00:00+00:00,MKR-PERP,5.3e-05,2518.0,2525.5,2521.5,2531.0
2021-10-23T06:00:00+00:00,MKR-PERP,5.3e-05,2518.0,2525.5,2521.5,2531.0
